Email;Address;dominio;Tec;Avg. Session Length;Time on App;Time on Website;Length of Membership
lucastaylor@yahoo.com;Munich;yahoo;PC;33,94624062;10,98397673;37,95148946;3,050712973
theresamitchell@martin-chambers.biz;Munich;Otro;Smartphone;31,82797906;12,46114744;37,42899737;2,974736815
john85@rodriguez.info;Ausburgo;Otro;PC;31,12809005;13,27895623;37,38718053;4,626075292
victoriajohnson@gmail.com;Berlin;gmail;Iphone;33,45430193;11,01675564;37,63731096;4,137000388
ecruz@yahoo.com;Berlin;yahoo;Smartphone;31,91207593;11,79297182;36,25781912;2,39516813
kristina69@gmail.com;Berlin;gmail;Smartphone;32,43977025;12,42413041;38,94882503;4,920318406
alvareznancy@lucas.biz;Munich;Otro;Smartphone;33,87103788;12,02692534;34,47687763;5,493507201
kelly24@lewis.info;Ausburgo;Otro;Smartphone;34,14496899;12,90266489;36,61119878;2,223993458
jordandavid@gmail.com;Munich;gmail;PC;33,66661568;10,98576379;36,35250277;0,936497597
jill33@allen.com;Ausburgo;Otro;PC;33,54097679;11,85189083;37,42454792;1,767730708
tammyjones@griffin.com;Munich;Otro;PC;33,19157088;9,846124909;36,87631323;3,806670949
schmidtdenise@hotmail.com;Munich;hotmail;PC;33,10833615;12,89237451;36,5273883;4,594116865
vickie90@lee-wilson.com;Frankfurt;Otro;Smartphone;32,82030995;11,63489325;35,36862633;4,124585297
wellsjuan@schroeder.com;Munich;Otro;Smartphone;31,81861657;11,22654566;35,66993517;3,755869389
tracy79@wheeler.net;Frankfurt;Otro;Smartphone;32,24635;11,30555143;37,13312676;1,707389729
ryanwerner@freeman.biz;Berlin;Otro;Smartphone;33,87936082;11,584783;37,08792607;3,713209203
randywhite@armstrong.biz;Ausburgo;Otro;Smartphone;32,78494023;12,45120001;36,66579137;3,535802468
garciakevin@gmail.com;Berlin;gmail;Iphone;33,45961932;12,66439052;36,36684325;1,726962043
whitetyler@anderson-avery.com;Munich;Otro;PC;34,08026009;11,5914397;36,45689841;4,652854446
karenosborne@yahoo.com;Munich;yahoo;Smartphone;32,68624509;12,63857212;36,09722093;4,297737482
larrywest@davis.com;Munich;Otro;PC;33,71065306;13,66474788;37,72438616;1,36267408
veronicapruitt@hotmail.com;Frankfurt;hotmail;Iphone;33,2485062;11,65659203;36,54860515;3,363411394
efreeman@moore.com;Munich;Otro;Iphone;32,20079864;12,27698171;38,23260623;3,316464745
djohnson@hotmail.com;Munich;hotmail;Smartphone;32,19249883;13,32541219;36,89729461;5,049927475
acontreras@hotmail.com;Ausburgo;hotmail;Smartphone;33,54774794;10,73536292;37,45837473;3,863425442
davisbriana@gmail.com;Frankfurt;gmail;Smartphone;33,144234;11,73704064;37,93518905;2,190132185
david28@wallace-hill.org;Munich;Otro;PC;33,38411057;12,67740144;35,62253059;3,680847338
john85@martin-morgan.com;Berlin;Otro;Iphone;33,75499473;12,06415663;37,27122169;3,970555628
baldwinbryan@estrada-silva.biz;Ausburgo;Otro;PC;33,30443129;12,37849022;38,76429717;3,843848921
gbarnes@gmail.com;Munich;gmail;PC;31,86483255;13,44340599;36,87831537;2,361086947
hunterlucas@gmail.com;Berlin;gmail;Iphone;33,58294684;12,76153128;36,90818962;2,479339823
richard16@boyer-pratt.com;Berlin;Otro;PC;31,80930032;11,63466822;36,18253928;5,113319475
christophermorrison@mcguire-carter.biz;Frankfurt;Otro;Smartphone;34,55528259;11,77777204;37,97982686;3,784273087
enash@gmail.com;Frankfurt;gmail;PC;31,72165236;11,7550237;36,76572236;1,847370423
jennifer24@hotmail.com;Munich;hotmail;Iphone;34,43642584;13,3254691;36,76860309;3,371258113
matthewgraves@mills-shaffer.com;Berlin;Otro;PC;33,90856503;12,91484663;39,06886445;1,482359644
oolson@collins.com;Munich;Otro;Portatil;32,53379686;12,29336584;37,0646212;3,620364988
christianwade@butler.info;Frankfurt;Otro;PC;32,01807401;10,07946345;38,07066426;2,61816531
joshuaodom@gmail.com;Munich;gmail;Smartphone;32,72836;13,10450724;38,87804051;2,820097234
mark81@wagner.com;Munich;Otro;Smartphone;32,30274837;12,81539265;37,95780983;4,615426307
tammy12@gmail.com;Berlin;gmail;Smartphone;34,17951757;12,58154773;35,4442647;3,137068975
bonnie69@lin.biz;Berlin;Otro;Smartphone;31,93654862;11,81412829;37,14516822;3,202806072
connerjoseph@gmail.com;Berlin;gmail;PC;34,59577669;11,33248778;35,4598628;4,541695257
mosleyjacob@yahoo.com;Berlin;yahoo;Smartphone;33,66599032;12,26371768;38,86023443;3,139526935
dongarcia@hotmail.com;Munich;hotmail;Iphone;33,11721873;11,86412636;36,58272777;3,202531199
carrillojacob@perry-larsen.com;Munich;Otro;PC;32,27184828;13,48500899;37,55088041;3,086337272
jstark@anderson.com;Berlin;Otro;PC;30,73772037;12,63660605;36,21376309;3,357846842
marshchristopher@zimmerman-villegas.com;Munich;Otro;Portatil;33,08852937;11,85766344;36,08693433;4,806349619
youngbarbara@yahoo.com;Munich;yahoo;Portatil;34,507551;12,8936695;37,63575588;5,705153971
ilawson@hotmail.com;Frankfurt;hotmail;Iphone;33,50136982;13,89808199;37,05891282;4,130562809
jamesfaulkner@hoffman-wolfe.org;Munich;Otro;Portatil;34,39432665;12,80775183;38,55103029;1,810079876
crawforderik@price.org;Munich;Otro;PC;32,49719846;12,83280284;37,67924462;2,972271382
wrightpeter@yahoo.com;Berlin;yahoo;PC;33,19033404;12,95922609;36,1446667;3,918541839
hailey18@yahoo.com;Munich;yahoo;Portatil;32,93133644;12,73221159;35,60082055;5,485976734
austinthomas@gmail.com;Berlin;gmail;PC;33,81173341;11,18680872;36,29889308;4,301996499
hortonrobert@hotmail.com;Munich;hotmail;PC;33,20061634;11,96598027;36,83153585;3,549036057
